Width,Depth,Curve Length,Deviation,aspeed
140,25,151.2,-0.5,1.1
140,30,155.5,-1,1.1
140,35,160.4,-5,1.1
140,40,165.8,-7,1.1
140,45,172.6,-13.5,1.1
140,50,177.9,-12,1.1
140,55,185.4,-15,1.1
140,60,191.3,-20,1.1
140,25,151.2,2.5,1.2
140,30,155.5,-1.5,1.2
140,35,160.4,-1,1.2
140,40,165.8,-5.5,1.2
140,45,172.6,-9,1.2
140,50,177.9,-12.5,1.2
140,55,185.4,-15.5,1.2
140,60,191.3,-19,1.2
140,25,151.2,2.5,1.3
140,30,155.5,-1,1.3
140,35,160.4,-0.5,1.3
140,40,165.8,-5,1.3
140,45,172.6,-6,1.3
140,50,177.9,-9.5,1.3
140,55,185.4,-10.5,1.3
140,60,191.3,-13.5,1.3
140,25,151.2,5,1.5
140,30,155.5,1,1.5
140,35,160.4,0.5,1.5
140,40,165.8,-4,1.5
140,45,172.6,-4,1.5
140,50,177.9,-6,1.5
140,55,185.4,-6.5,1.5
140,60,191.3,-6.5,1.5
140,25,151.2,13.5,1.75
140,30,155.5,11,1.75
140,35,160.4,0.5,1.75
140,40,165.8,0,1.75
140,45,172.6,-2,1.75
140,50,177.9,-1.5,1.75
140,55,185.4,-3,1.75
140,60,191.3,-4,1.75
140,25,151.2,25,2
140,30,155.5,8.5,2
140,35,160.4,4.5,2
140,40,165.8,5.5,2
140,45,172.6,5,2
140,50,177.9,5,2
140,55,185.4,1,2
140,60,191.3,1,2
100,50,149.5,-9.7,1.5
100,45,141.8,-9.7,1.5
100,40,134.4,-9,1.5
100,35,127.4,-8.2,1.5
100,30,120.9,-4.7,1.5
100,25,115.1,-2.8,1.5
100,50,149.5,-6,1.7
100,45,141.8,-7.3,1.7
100,40,134.4,-6.5,1.7
100,35,127.4,-4.2,1.7
100,30,120.9,-2.5,1.7
100,25,115.1,-0.3,1.7
100,50,149.5,-5.2,1.8
100,45,141.8,-4.7,1.8
100,40,134.4,-4.7,1.8
100,35,127.4,-2.8,1.8
100,30,120.9,-1,1.8
100,25,115.1,0,1.8
100,50,149.5,-4.3,1.9
100,45,141.8,-4.3,1.9
100,40,134.4,-2.2,1.9
100,35,127.4,-1.7,1.9
100,30,120.9,-0.3,1.9
100,25,115.1,2,1.9
100,50,149.5,-2.3,2
100,45,141.8,-4.3,2
100,40,134.4,-2.2,2
100,35,127.4,0.5,2
100,30,120.9,-0.3,2
100,25,115.1,0.3,2
100,50,149.5,-0.7,2.1
100,45,141.8,-2.7,2.1
100,40,134.4,-1,2.1
100,35,127.4,0,2.1
100,30,120.9,2.7,2.1
100,25,115.1,3.3,2.1
100,50,149.5,0.3,2.2
100,45,141.8,-1.7,2.2
100,40,134.4,1.3,2.2
100,35,127.4,3.3,2.2
100,30,120.9,2,2.2
100,25,115.1,3.3,2.2
100,50,164.6,0,2
100,45,157.8,0,2
100,40,150.5,3,2
100,35,144.1,6,2
100,30,138.2,9,2
100,25,133,11,2
120,50,164.6,-0.5,1.9
120,45,157.8,-2,1.9
120,40,150.5,-1.5,1.9
120,35,144.1,0.5,1.9
120,30,138.2,3.5,1.9
120,25,133,6.5,1.9
120,50,164.6,-4,1.8
120,45,157.8,-2.5,1.8
120,40,150.5,-1.5,1.8
120,35,144.1,0.5,1.8
120,30,138.2,2.5,1.8
120,25,133,4,1.8
120,50,164.6,-4,1.7
120,45,157.8,-3,1.7
120,40,150.5,-0.5,1.7
120,35,144.1,1.5,1.7
120,30,138.2,2,1.7
120,25,133,2.5,1.7
120,50,164.6,-5,1.6
120,45,157.8,-4,1.6
120,40,150.5,-4,1.6
120,35,144.1,-4,1.6
120,30,138.2,-0.5,1.6
120,25,133,2,1.6
151,11,152.6,20.2,1.5
105,25.9,120.5,0.0,1.65
105,37.6,135.0,2.0,1.95
105,47.6,149.5,0.0,2.1
105,56.8,164,1.0,2.1
105,28.3,123.2,1.5,1.5
105,41.4,140.3,6.6,2.15
105,52.7,157.5,4.0,2.2
105,28.3,123.2,-0.5,1.3
105,41.4,140.3,-0.5,1.9
105,28.3,123.2,1.5,1.5
105,41.4,140.3,2.0,1.85
105,30.7,126.0,-3.0,1.7
105,44.4,144.6,0.5,2.0
105,57.5,165.2,1.0,2.1
105,28.0,122.8,-4.0,1.6
105,39.5,137.6,0.0,1.85
105,50.5,153.7,-1.0,2.0
105,28.0,122.8,-4.0,1.5
105,39.5,137.6,-2.5,1.7
105,50.5,153.7,-3.0,1.85
105,61.6,171.2,-7.0,1.85
170,63,220.9,3.0,1.7
122.8,44.4,158.4,-4.5,1.7
170,63,220.9,0.0,1.55
122.8,44.4,158.4,-1,1.8
